허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
새별오름,8,제주특별자치도,제주시,,제주특별자치도 제주시 애월읍 봉성리 4554,33.3615590828,126.3636535377,10,25410원/년,2020-01-01,2020-12-31,연중무휴,10:00,18:00,10:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,제주시 위생관리과,064-728-2623,2020-06-30,6510000,제주특별자치도 제주시
고속도로 졸음쉼터,7,경기도,수정구,,경기도 성남시 수정구 수진동 산39-13,,,1,매출 대비 지불,2020-10-19,2021-10-18,연중무휴,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,,한국도로공사,02-2225-8425,2021-01-01,3780000,경기도 성남시
광명동굴 내,04,경기도,광명시,경기도 광명시 가학로85번길 142,경기도 광명시 가학동 27,37.4246785730,126.8634320983,4,"연 7,000원~8,000원",2017-01-09,2019-01-06,연중무휴,13:00,21:00,13:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,광명시 생활위생과,02-2680-5483,2020-12-14,3900000,경기도 광명시
남조로 사려니숲길입구,99,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 가시리 산 158-4,,,1,0,2019-04-19,2021-03-29,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
송림테마거리,99,15,포항시,경상북도 포항시 남구 송도해안길,경상북도 포항시 남구 송도동 254-100,36.0369311787,129.3783556304,8,0,2018-05-05,2018-05-07,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 남구청,054-270-6186,2019-08-02,5020000,경상북도 포항시
선린대학교,06,15,포항시,경상북도 포항시 북구 흥해읍 초곡리36번길 30,경상북도 포항시 북구 흥해읍 초곡리 146-1 선린대학교,36.0899403107,129.3326014958,1,0,2019-03-19,2020-03-10,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 북구청,054-240-7184,2019-08-02,5020000,경상북도 포항시
칠포해수욕장,02,15,포항시,경상북도 포항시 북구 흥해읍 해안로,경상북도 포항시 북구 흥해읍 칠포리 197-20 칠포해수욕장 일원,36.1420294942,129.3920649276,1,0,2018-09-07,2019-09-09,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 북구청,054-240-7184,2019-08-02,5020000,경상북도 포항시
영일대해수욕장,02,15,포항시,경상북도 포항시 북구 해안로,경상북도 포항시 북구 두호동 685-1 영일대해수욕장 제2주차장 또는 지정장소,36.1420294942,129.3920649276,5,0,2018-07-20,2018-10-13,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 북구청,054-240-7184,2019-08-02,5020000,경상북도 포항시
포항대학교 학교주차장,06,15,포항시,경상북도 포항시 북구 흥해읍 신덕로 60,경상북도 포항시 북구 죽천리 산55,36.0864225949,129.4106957078,1,0,2018-04-05,2019-03-30,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 북구청,054-240-7184,2019-08-02,5020000,경상북도 포항시
팔달문 차없는 거리 및 지동교,99,09,수원시,경기도 수원시 팔달구 팔달문로 9,경기도 수원시 팔달구 팔달로2가 48-1,37.277718,127.018472,18,42만원/년,2018-07-17,2019-12-31,없음,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,17:00,22:00,기선정메뉴+주류,수원시청,031-228-3269,2019-09-05,3740000,경기도 수원시
입곡군립공원 주차장,2,경상남도,함안군,,경상남도 함안군 산인면 입곡리 1181,35.263336,128.449553,1,"년 6,870원",2016-10-10,2020-10-09,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3413,2020-10-27,5400000,경상남도 함안군
입곡군립공원 아라힐링카페,2,경상남도,함안군,,경상남도 함안군 산인면 입곡리 1310,35.2595394,128.4510892,1,년 900원,2018-11-14,2021-11-13,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3413,2020-10-27,5400000,경상남도 함안군
악양생태공원,4,경상남도,함안군,,경상남도 함안군 대산면 하기리 806,35.33978875,128.3966927,1,"년 10,870원",2018-12-06,2021-12-05,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3424,2020-10-27,5400000,경상남도 함안군
강나루생태공원,5,경상남도,함안군,,경상남도 함안군 칠서면 이룡리 996-8,35.392269,128.509703,1,"년 35,000원",2015-07-16,2020-07-15,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3416,2020-10-27,5400000,경상남도 함안군
중부선 농다리 졸음쉼터,7,충청북도,진천군,충청북도 진천군 문백면 중부고속도로 31,충청북도 진천군 문백면 구곡리 87,36.8346558,127.4940163,1,0,2017-12-08,2018-12-07,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,진천군,043-539-3426,2020-09-16,4450000,충청북도 진천군
서울외곽고속도로 김포TG외측 졸음쉼터,7,경기도,김포시,,경기도 김포시 고촌읍 신곡리 800-1,37.5869702,126.7518781,1,"월100,000원",2019-12-15,2020-12-14,연중무휴,08:00,19:00,08:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,김포시,031-980-2253,2020-05-13,4090000,경기도 김포시
한강신도시 호수공원,4,경기도,김포시,,경기도 김포시 마산동 617-2,37.6457871088,126.63491772,1,"월18,984원",2019-09-20,2021-09-19,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,김포시,031-980-2253,2020-05-13,4090000,경기도 김포시
해운대구청,8,부산광역시,해운대구,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.1631596,129.1635629,1,"연간 2,523,950원",2017-01-01,2020-12-31,일요일 휴무,08:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,해운대구,051-749-4161,2020-06-22,3330000,부산광역시 해운대구
안중시장 고객센터 앞,99,경기도,평택시,,경기도 평택시 안중읍 안중리 267-5,36.98750243,126.9284436,1,"연 251,460원",2019-12-08,2021-12-07,연중무휴* 휴무시 사전 알림 (행사참여 등),10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,평택시,031-8024-2294,2020-04-28,3910000,경기도 평택시
산청 동의보감촌 입구주차장,8,경상남도,산청군,경상남도 산청군 금서면 동의보감로555번길 45-2,경상남도 산청군 금서면 특리 1300-30,35.4414774882,127.8294876846,1,"연 10,230원",2016-10-17,2021-09-12,매주 월요일,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류,산청군,055-970-6634,2020-10-20,5450000,경상남도 산청군
광양국민체육센터 커피하우스,3,전라남도,광양시,"전라남도 광양시 봉강면 매천로 695-9, 광양국민체육센터 입구",전라남도 광양시 봉강면 석사리 100,34.9823760605,127.5737443314,1,0,2019-07-16,2022-12-31,"셋?, 넷째 월요일/ 매주 토요일 일요일",10:00,14:00,10:00,14:00,10:00,,10:00,,10:00,,10:00,,10:00,,10:00,,10:00,,10:00,,10:00,,10:00,,10:00,,10:00,,X,광양시,061-762-9880,2020-10-26,4840000,전라남도 광양시
서구문화회관,99,대구광역시,서구,대구광역시 서구 당산로 403,대구광역시 서구 이현동 48-144,35.87279161,128.545535,1,0,2018-03-12,2019-03-11,미공연 시,09:00,22:00,09:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,술,대구서구청,053-663-2774,2020-10-23,3430000,대구광역시 서구
앵강소공원내,8,경상남도,남해군,경상남도 남해군 이동면 남해대로 1856-3,경상남도 남해군 이동면 무림리 1798,34.78432799,127.9613395,1,년 6970원,2016-11-10,2021-11-09,연중무휴,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,주류,남해군,055-860-3242,2021-03-29,5430000,경상남도 남해군
송정해수욕장 주차장,8,경상남도,남해군,,경상남도 남해군 미조면 송정리1131,34.7235513,128.0249358,1,0,2016-12-23,2021-12-30,연중무휴,10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,주류,남해군,055-860-3242,2021-03-29,5430000,경상남도 남해군
서울혁신파크,08,서울특별시,은평구,서울특별시 은평구 통일로 684,서울특별시 은평구 녹번동 5-29,37.6094070491,126.9349538787,1,"년 1,826,770원",2017-03-14,2020-12-31,미운영,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,서울특별시 은평구,02-351-8175,2020-07-31,3110000,서울특별시 은평구
경인아라뱃길 시천교,5,인천광역시,서구,,인천광역시 서구 시천동 158-11,,,4,"연 630,500원",2019-01-04,2021-01-03,연중무휴,10:00,22:00,10:00,22:00,10:00,20:00,10:00,20:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,20:00,10:00,20:00,주류,한국수자원공사 인천김포권지사,032-590-2252,2020-07-09,3560000,인천광역시 서구
양서친환경도서관 앞,8,경기도,양평군,,경기도 양평군 양서면 용담리 535-15,37.541986,127.323247,1,"연 127,470원",2017-08-01,2020-04-30,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,양평군,031-770-2625,2020-12-21,4170000,경기도 양평군
우치공원,4,광주광역시,북구,광주광역시 북구 우치로 677(생용동),광주광역시 북구 생용동 90번지,35.22431388,126.8942421,1,"연40,640원",2020-04-19,2022-06-25,연중무휴,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,주류+컵라면,광주광역시 우치공원,062-613-5860,2020-12-20,3620000,광주광역시 북구
청양공설운동장,8,충청남도,청양군,충청남도 청양군 청양읍 청산로 257-19,충청남도 청양군 청양읍 백천리 산 69-5,36.4616217314,126.8115764410,1,"연 6,380원",2020-07-01,2021-06-30,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 청양군,041-940-2184,2020-12-21,4590000,충청남도 청양군
칠갑산오토캠핑장,8,충청남도,청양군,충청남도 청양군 대치면 까치내로 710,충청남도 청양군 대치면 작천리 30-29,36.39572454,126.863183,1,"연 21,120원",2020-07-01,2021-06-30,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 청양군,041-940-2184,2020-12-21,4590000,충청남도 청양군
청양군민체육관,8,충청남도,청양군,충청남도 청양군 청양읍 충절로 1204,충청남도 청양군 청양읍 송방리 371,36.45368677,126.7946154,1,"연 84,420원",2020-07-01,2021-06-30,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 청양군,041-940-2184,2020-12-21,4590000,충청남도 청양군
치즈체험장,8,충청남도,청양군,충청남도 청양군 비봉면 여사길 18-17,충청남도 청양군 비봉면 양사리 산 99,36.48953279,126.7587885124,1,0,2018-08-01,2023-07-31,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 청양군,041-940-2184,2020-12-21,4590000,충청남도 청양군
동해시웰빙스포츠타운 일원,3,강원도,동해시,강원도 동해시 덕골길 10(천곡동),강원도 동해시 천곡동 363-1,37.51606095,129.1021986,0,"월 800,000원",2016-11-01,2017-01-31,토요일+일요일+공휴일,09:00,20:00,10:00,21:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,20:00,10:00,20:00,10:00,21:00,10:00,21:00,09:00,20:00,09:00,20:00,10:00,19:00,10:00,19:00,병입 음료,동해시,033-530-2122,2020-12-22,4210000,강원도 동해시
포항운전면허시험장,99,15,포항시,경상북도 포항시 남구 오천읍 냉천로 656,경상북도 포항시 남구 오천읍 문덕리 1036-6,35.9423187355,129.3929024188,0,0,2017-11-27,2018-11-01,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 남구청,054-270-6186,2019-08-02,5020000,경상북도 포항시
포항종합공설운동장일대,03,15,포항시,경상북도 포항시 남구 희망대로 810(대도동),경상북도 포항시 남구 대도동 313-1,36.0083981310,129.3628911843,1,0,2017-11-12,2017-11-13,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 남구청,054-270-6186,2019-08-02,5020000,경상북도 포항시
형산강변 연일대교 하단 일원,99,15,포항시,경상북도 포항시 남구 형산강남로,경상북도 포항시 남구 연일읍 생지리 459-3,36.0000678897,129.3460814314,0,0,2017-10-20,2017-10-22,연중무휴,10:00,22:00,10:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,포항시 남구청,054-270-6186,2019-08-02,5020000,경상북도 포항시
백양공원,04,02,북구,부산광역시 북구 은행나무로 26,부산광역시 북구 만덕동 843,35.2072432019,129.037795495,1,년 141570,2017-04-01,2019-03-31,연중무휴,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,주류,부산광역시 북구,051-309-2051,2018-10-18,3320000,부산광역시 북구
사적지 제229호 충의사 주차장,2,충청남도,예산군,충청남도 예산군 덕산면 덕산온천로 183-5,충청남도 예산군 덕산면 시량리 61-4,36.68653715,126.651381,,0,2017-03-15,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
유형문화재 제43호 추사고택 주차장,2,충청남도,예산군,충청남도 예산군 신암면 추사고택로 261,충청남도 예산군 신암면 용궁리 산 73-22,36.74693565,126.7984593,,0,2017-03-15,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
예당관광지 주차장,2,충청남도,예산군,충청남도 예산군 응봉면 예당관광로 160,충청남도 예산군 응봉면 후사리 88,36.63757893,126.7994751,,0,2017-03-15,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
의좋은형제공원 주차장,2,충청남도,예산군,충청남도 예산군 대흥면 예당로 885,충청남도 예산군 대흥면 동서리 82-4,36.60826625,126.7918293,,0,2017-03-15,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
덕산도립공원 수덕사 주차장,4,충청남도,예산군,충청남도 예산군 덕산면 수덕사안길 33-16,충청남도 예산군 덕산면 사천리 25-36,36.65581805,126.6207305,,0,2017-03-15,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
무한천체육공원 주차장,4,충청남도,예산군,도로명 주소 없음,충청남도 예산군 예산읍 산성리 435-2,36.685274,126.822371,,0,2017-03-15,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
국립공주대학교 산업과학대학 주차장,6,충청남도,예산군,충청남도 예산군 예산읍 대학로 54,충청남도 예산군 예산읍 대회리 1,36.66988834,126.8594141,,0,2017-03-15,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
봉수산자연휴양림(수목원) 주차장,2,충청남도,예산군,충청남도 예산군 대흥면 임존성길 153,충청남도 예산군 대흥면 상중리 산 11-1,36.59844872,126.7808937,,0,2019-06-17,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
예산황새공원 주차장,2,충청남도,예산군,충청남도 예산군 광시면 시목대리길 62-19,충청남도 예산군 광시면 대리 230,36.5426278,126.8022435,,0,2019-06-17,2099-12-31,연중무휴,00:00,12:00,00:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 예산군,041-339-7482,2020-09-22,4610000,충청남도 예산군
강진오감통,99,전라남도,강진군,전라남도 강진군 강진읍 오감길 2,,34.6391451580,126.7735554260,0,-,2018-10-01,2021-09-30,-,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,-,강진군청,061-430-3362,2021-02-05,4920000,전라남도 강진군
고려청자박물관,99,전라남도,강진군,전라남도 강진군 대구면 청자촌길 33,,34.5086620320,126.8008374078,0,-,2018-10-01,2021-09-30,-,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,-,강진군청,061-430-3732,2021-02-05,4920000,전라남도 강진군
시문학파기념관,99,전라남도,강진군,전라남도 강진군 강진읍 영랑생가길 14,,34.6422880024,126.7659602749,0,-,2018-10-01,2021-09-30,-,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,-,강진군청,061-430-3372,2021-02-05,4920000,전라남도 강진군
다산박물관,99,전라남도,강진군,전라남도 강진군 도암면 다산로 766-20,,34.5764119352,126.7499561025,0,-,2018-10-01,2021-09-30,-,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,-,강진군청,061-430-3912,2021-02-05,4920000,전라남도 강진군
강진군도서관,99,전라남도,강진군,전라남도 강진군 강진읍 남문길 10,,34.6405086976,126.7697200500,0,-,2018-10-01,2021-09-30,-,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,-,강진군청,061-430-3832,2021-02-05,4920000,전라남도 강진군
강진군아트홀,99,전라남도,강진군,전라남도 강진군 강진읍 영랑로1길 9,,34.6381752709,126.7704992252,0,-,2018-10-01,2021-09-30,-,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,-,강진군청,061-430-3972,2021-02-05,4920000,전라남도 강진군
병지방계곡,2,강원도,횡성군,,강원도 횡성군 갑천면 병지방리 530,,,1,0,2017-03-15,2022-02-12,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,횡성군,033-340-5693,2020-10-13,4260000,강원도 횡성군
산격대교 인근 축제장,99,대구광역시,북구,,대구광역시 북구 산격동 677-3,,,,0,2017-09-23,2017-09-24,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2020-10-13,3450000,대구광역시 북구
북구청광장,8,대구광역시,북구,대구광역시 북구 옥산로 65(침산동),,35.8856842974,128.5827801617,,0,2017-10-13,2017-10-13,비정기적+우천시휴무,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구 위생과,053-665-2754,2020-10-13,3450000,대구광역시 북구
노작호수공원,4,경기도,화성시,경기도 화성시 석우동 63번지 1호 노작호수공원,경기도 화성시 석우동 63번지 1호 노작호수공원,37.20627225,127.0802263,1,자료없음,2017-09-12,2019-12-31,자료없음,09:00,23:59,09:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,화성시청,031-369-2233,2020-06-01,5530000,경기도 화성시
남양근린공원,4,경기도,화성시,경기도 화성시 남양읍 남양리 2060번지 푸드트럭,경기도 화성시 남양읍 남양리 2060번지 푸드트럭,37.20201847,,1,자료없음,2017-10-26,2019-07-26,자료없음,09:00,23:59,09:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,화성시청,031-369-2233,2020-06-01,5530000,경기도 화성시
동학산근린공원,4,경기도,화성시,경기도 화성시 석우동 29번지 3호 동학산근린공원 내,경기도 화성시 석우동 29번지 3호 동학산근린공원 내,37.22046464,127.0785845,1,자료없음,2017-09-12,2019-12-31,자료없음,09:00,23:59,09:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,화성시청,031-369-2233,2020-06-01,5530000,경기도 화성시
다람산근린공원,4,경기도,화성시,경기도 화성시 병점중앙로 229,경기도 화성시 진안동 123-2번지 다람산근린공원,37.2173701985,127.0336057796,1,자료없음,2017-09-12,2019-12-31,자료없음,09:00,23:59,09:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,화성시청,031-369-2233,2020-06-01,5530000,경기도 화성시
장안휴게소,7,경기도,화성시,경기도 화성시 장안면 평택시흥고속도로 7,경기도 화성시 장안면 어은리 산53-1번지 장안휴게소,37.09250707,126.8447422993,1,자료없음,2017-01-23,2019-01-15,자료없음,09:00,23:59,09:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,화성시청,031-369-2233,2020-06-01,5530000,경기도 화성시
수원대학교,6,경기도,화성시,경기도 화성시 정남면 세자로 288,경기도 화성시 정남면 보통리 141-44번지 수원과학대학교 및 수원대학교 교내,37.1920328913,126.9839265343,1,자료없음,2018-03-26,2018-08-31,자료없음,09:00,23:59,09:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,화성시청,031-369-2233,2020-06-01,5530000,경기도 화성시
푸드트럭허가구역,3,전라남도,완도군,완도군 완도읍 개포로111,,34.316104,126.741107,,"36,080원",2020-01-01,2021-12-31,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,체육진흥과(시설관리운영팀),061-550-5437,2020-08-07,4990000,전라남도 완도군
곤지암도자기공원,2,경기도,광주시,경기도 광주시 곤지암읍 경충대로 727,,37.35028421,127.3347877,5,0,2018-04-17,2019-12-31,연중무휴,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 광주시청,031-760-2839,2020-09-25,5540000,경기도 광주시
곤지암팀업캠퍼스,99,경기도,광주시,경기도 광주시 곤지암읍 경충대로 729,경기도 광주시 곤지암읍 삼리 430,37.35249195,127.3237004,2,0,2018-11-19,2022-07-30,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 광주시청,031-760-2839,2020-09-25,5540000,경기도 광주시
광주시청,99,경기도,광주시,경기도 광주시 행정타운로 50,경기도 광주시 송정동 570,37.42928622,127.2550706,1,0,2017-09-09,2017-09-09,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 광주시청,031-760-2839,2020-09-25,5540000,경기도 광주시
청석공원,5,경기도,광주시,,경기도 광주시 쌍령동 242,37.40205984,127.2728194,1,0,2016-09-05,2018-12-31,연중무휴,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 광주시청,031-760-2839,2020-09-25,5540000,경기도 광주시
푸드트럭존,5,경상북도,영덕군,,경상북도 영덕군 축산면 축산리 944-7,,,1,"10,100원",2017-08-31,2019-08-30,연중무휴,09:00,18:00,09:00,20:00,09:00,17:00,09:00,17:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,18:00,09:00,18:00,09:00,18:00,주류,경상북도 영덕군청,054-730-6172,2020-07-15,5180000,경상북도 영덕군
푸드트럭존,5,경상북도,영덕군,,경상북도 영덕군 축산면 축산리 944-7,,,1,"10,100원",2017-11-06,2019-11-05,연중무휴,09:00,18:00,09:00,20:00,09:00,17:00,09:00,17:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,18:00,09:00,18:00,09:00,18:00,주류,경상북도 영덕군청,054-730-6172,2020-07-15,5180000,경상북도 영덕군
푸드트럭존,99,경상북도,영덕군,,경상북도 영덕군 영덕읍 창포리 113-1,,,1,"47,000원",2017-09-14,2019-09-13,연중무휴,09:00,18:00,09:00,20:00,09:00,17:00,09:00,17:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,18:00,09:00,18:00,09:00,18:00,주류,경상북도 영덕군청,054-730-6172,2020-07-15,5180000,경상북도 영덕군
